recette_id,nom,description,couleur_hex,collection,Rang,ligne,format,nb_unites,instructions,notes,ingredient_type,ingredient_nom,quantite_g,cout_ingredient,cure,prix_vente,image_url,statut,image_url_noel,colsSecondaires,desc_emballage,Surgras,ingredient_inci
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Huiles,Huile de tournesol oléique,325,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,"Helianthus Annuus (Sunflower) Seed Oil (High Oleic, 80%)"
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Huiles,Huile de coco,260,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,Cocos nucifera (Coconut) Oil
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Ingrédients Liquides,Eau,184,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,Aqua
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Ingrédients Secs,Soude caustique (NaOH),92,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,Sodium Hydroxide
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Beurres,Beurre de karité,65,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,Butyrospermum parkii (Shea) Butter
4,BOIS DE CARACTÈRE,"Il y a des savons qu'on remarque avant même de les toucher. Bois de caractère s'impose avec son graphisme tranché, gris profond et blanc pur, comme une signature. Ses notes boisées de cèdre bleu s'entrelacent au patchouli et au romarin, avec un cœur jasmin et magnolia qui adoucit sans effacer. Un savon qui ne s'excuse pas d'exister.",#363636,SAPONICA,1,SAVON,,9,,"¾ Charbon activé végétal = 1 à 2 c. à thé / ¼ blanc / ¾ → Charbon activé végétal / Couleur gris foncé et blanc, effet graphique",Huiles aromatiques,HA O'masculin,16,0,28,0,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448451/Boisdecaractere_hbi5xd.jpg,public,https://res.cloudinary.com/dfasrauyy/image/upload/v1773448369/Boisdecaracterenoel_tww5tv.jpg,,L'élégance brute de la forêt. Notes boisées et épicées pour une force tranquille.,0.08,Cedrus Atlantica (Atlas Cedar) Wood Oil; Jasminum Grandiflorum (Jasmine) Flower Oil; Michelia Alba (Magnolia) Flower Oil; Pogostemon Cablin (Patchouli) Leaf Oil; Rosmarinus Officinalis (Rosemary) Leaf Oil
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Acide citrique en poudre,55,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,CITRIC ACID
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Bicarbonate de soude,115,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Sodium bicarbonate
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Liquides,Eau,10,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Aqua
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Fécule de maïs,55,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Zea mays (corn) starch
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Huiles essentielles,HE cèdre feuilles,"0,5",0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,thuja occidentalis leaf oil
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Huiles essentielles,HE palmarosa,"0,5",0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Cymbopogon Martini (Palmarosa) Oil
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Huiles essentielles,HE petitgrain,"0,5",0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Citrus Aurantium ssp. aurantium (Petitgrain Bigarade) Leaf Oil
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Huiles,Huile végétale amande douce,45,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Prunus amygdalus
5,BOMBE BAIN BORÉAL,"Fermez les yeux et laissez l'effervescence vous emporter. Boréal plonge le bain dans une atmosphère forestière et nordique — le petitgrain apporte sa fraîcheur verte, le cèdre ancre dans le boisé, la palmarosa adoucit. Une bulle d'air pur qui détend les muscles et apaise l'esprit.",#7F6811,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / Musc blanc à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Sel d'Epsom,50,0,0,0,,public,,,"Le grand air du Nord dans un bain effervescent — bois, verdure et musc pour une détente profonde.",,Magnesium sulfate
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Acide citrique en poudre,55,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,CITRIC ACID
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Bicarbonate de soude,115,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Sodium bicarbonate
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Liquides,Eau,10,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Aqua
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Fécule de maïs,55,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Zea mays (corn) starch
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles aromatiques,HA brise de mer,"0,5",0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Jasminum grandiflorum (Jasmine) Flower Extract; Nelumbo nucifera (Lotus) Flower Extract; Cistus ladaniferus (Cistus) Oil; Santalum album (Sandalwood) Oil; Rosmarinus officinalis (Rosemary) Leaf Oil; Cinnamomum camphora (Ho) Wood Oil; Citrus limon (Lemon) Peel Oil
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles essentielles,HE cèdre bleu,"0,5",0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Cedrus Atlantica (Atlas Cedar) Wood Oil
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles,Huile végétale amande douce,45,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Prunus amygdalus
6,BOMBE BAIN BRISE DES LAGUNES,"Laissez l'effervescence dessiner des lagunes dans votre bain. Brise des lagunes capture l'air salin des eaux turquoise, le souffle tiède du cèdre bleu qui s'attarde sur la peau.",#3EAF85,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Sel d'Epsom,50,0,0,0,,public,,,Une escapade aquatique — la brise marine et le cèdre bleu pour un bain qui sent l'horizon.,,Magnesium sulfate
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Acide citrique en poudre,55,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,CITRIC ACID
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Bicarbonate de soude,115,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Sodium bicarbonate
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Liquides,Eau,10,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Aqua
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Fécule de maïs,55,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Zea mays (corn) starch
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles aromatiques,HA pivoine,"0,5",0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Paeonia Lactiflora (Peony) Flower Oil
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles aromatiques,HA thé vert,"0,5",0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Camellia Sinensis (Green Tea) Leaf Oil
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles essentielles,HE lavande,"0,5",0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,lavandula angustifolia (lavender) oil
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Huiles,Huile végétale amande douce,45,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Prunus amygdalus
7,BOMBE BAIN DÉLICAT,"Délicat invite la pivoine et la lavande à danser dans votre bain. L'effervescence libère un voile floral subtil et apaisant, pendant que le thé vert protège la peau en douceur.",#AF99A4,ÉMOLIA,,BOMBES DE BAIN,,3,,10g Eau = 2 c. à thé / 45g Huile végétale amande douce = 3 c. à table / 6g fleurs = 1 c. à table / Colorant ⚠️ à confirmer avec Chantal / 6g fleurs si désiré,Ingrédients Secs,Sel d'Epsom,50,0,0,0,,public,,,"Pivoine, lavande et thé vert — une effervescence florale toute en douceur.",,Magnesium sulfate
